APIC,Pod,Node,Port,Description,Adminstate,Native_vlan,Layer,Operate_Speed,MTU,SFP,Encap-VLAN,Encap-VLAN1,Encap-VLAN2,Encap-VLAN3,Encap-VLAN4,Encap-VLAN5,Encap-VLAN6,Encap-VLAN7,Encap-VLAN8,Encap-VLAN9,Encap-VLAN10,Encap-VLAN11,Encap-VLAN12,Encap-VLAN13,Encap-VLAN14,Encap-VLAN15,Encap-VLAN16,Encap-VLAN17,Encap-VLAN17,Encap-VLAN19,Encap-VLAN20,Encap-VLAN21,Encap-VLAN22,Encap-VLAN23,Encap-VLAN24,Encap-VLAN25,Encap-VLAN26,Encap-VLAN27,Encap-VLAN28,Encap-VLAN29,Encap-VLAN30,Encap-VLAN31,Encap-VLAN32,Encap-VLAN33,Encap-VLAN34
192.168.100.10,111,1,eth1/33,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/34,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/35,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/36,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/37,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/38,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/39,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/40,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/41,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/42,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/43,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/44,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/45,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/46,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/47,Connected to ESXI Host VVM Switch -Test ,up,None,Layer2,10G,9000,none,57, 58
192.168.100.10,111,1,eth1/48,,up,None,Layer2,10G,9216,none,3950
192.168.100.10,111,1,eth1/49,,up,None,Layer3,100G,9366,none,
192.168.100.10,111,1,eth1/50,,down,None,Layer3,100G,9366,sfp-missing,
192.168.100.10,111,1,eth1/51,,down,None,Layer3,100G,9366,sfp-missing,
192.168.100.10,111,1,eth1/52,,down,None,Layer3,100G,9366,sfp-missing,
192.168.100.10,111,1,eth1/53,,down,None,Layer3,100G,9366,link-failure,
192.168.100.10,111,1,eth1/54,,down,None,Layer3,100G,9366,sfp-missing,
192.168.100.10,111,1,eth1/1,Connection to L2 Switch (SITE_1_SWITCH),up,None,Layer2,1G,9000,none,665
192.168.100.10,111,1,eth1/2,,down,None,Layer2,1G,9000,link-failure,
192.168.100.10,111,1,eth1/3,,down,None,Layer3,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/4,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/5,,down,None,Layer3,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/6,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/7,TEST,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/8,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/9,,down,None,Layer2,10G,9000,link-failure,
192.168.100.10,111,1,eth1/10,,down,None,Layer2,10G,9000,link-failure,
192.168.100.10,111,1,eth1/11,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/12,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/13,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/14,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/15,,down,None,Layer2,10G,9000,link-failure,
192.168.100.10,111,1,eth1/16,,down,None,Layer2,1G,9000,link-failure,
192.168.100.10,111,1,eth1/17,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/18,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/19,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/20,Test_from PostmanPORT20,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/21,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/22,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/23,Test_from PostmanPORT23,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/24,,down,None,Layer3,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/25,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/26,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/27,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/28,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/29,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/30,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/31,,down,None,Layer2,25G,9000,sfp-missing,
192.168.100.10,111,1,eth1/32,,down,None,Layer2,25G,9000,sfp-missing,
